name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,444245,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-11-29T00:57:49Z
freeCodeCamp/freeCodeCamp,433563,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-11-29T00:35:30Z
sindresorhus/awesome,418652,N/A,😎 Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-11-29T00:58:05Z
public-apis/public-apis,381654,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-11-29T00:51:30Z
EbookFoundation/free-programming-books,377903,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-11-29T00:47:39Z
kamranahmedse/developer-roadmap,344545,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-11-29T00:02:07Z
jwasham/coding-interview-university,334236,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-11-28T23:58:13Z
donnemartin/system-design-primer,327955,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-11-28T23:55:53Z
996icu/996.ICU,274912,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-11-28T16:03:41Z
vinta/awesome-python,271572,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-11-29T00:58:07Z
