name,stars,language,description,url,created_at
MoonshotAI/Kimi-K3,7724,N/A,Open Frontier Intelligence,https://github.com/MoonshotAI/Kimi-K3,2026-07-27T08:01:37Z
bashalarmistalt/decimen-optical-transfer,2064,TypeScript,No description,https://github.com/bashalarmistalt/decimen-optical-transfer,2026-07-30T18:17:54Z
yc-software/qm,2015,TypeScript,Multiplayer agent harness for work,https://github.com/yc-software/qm,2026-07-29T20:03:08Z
xikhar/persona,716,JavaScript,Bringing real-time voice to life.,https://github.com/xikhar/persona,2026-07-28T11:40:19Z
QwenAudio/qwen-audio-agent,612,JavaScript,"A realtime voice runtime that keeps Agents talking, working, and present.  Real-time Voice Runtime f",https://github.com/QwenAudio/qwen-audio-agent,2026-07-27T05:04:26Z
xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,571,N/A,FDE（前沿部署工程师）从零入门指南（基于范冰《增长黑客》原书框架）,https://github.com/xdash/FDE-the-Guidance-Book-of-Forward-Deployed-Engineer,2026-07-30T05:39:38Z
0xwilliamortiz/ponytail-improved,570,JavaScript,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you nev,https://github.com/0xwilliamortiz/ponytail-improved,2026-07-28T14:16:19Z
0xwilliamortiz/openclaude-improved,563,TypeScript,runs anywhere. uses anything,https://github.com/0xwilliamortiz/openclaude-improved,2026-07-26T21:58:28Z
gavamedia/deltafin,562,Python,Run full Kimi K3 on a single device. And an OpenAI-compatible API server for local chat and coding a,https://github.com/gavamedia/deltafin,2026-07-28T01:01:23Z
DramaticShape/DramaticShapeVoxelMod,537,Lua,No description,https://github.com/DramaticShape/DramaticShapeVoxelMod,2026-07-26T21:47:59Z
